SMILES,Group,Gaps,Dips
COc1cn(C)c2c(-c3ccccc3)c3c(F)c(-c4nccc5nsnc45)n(C)c3c(-c3ccccc3)c12,1024,1.8478068707458424,2.2671071411051416
COc1c2sc(-c3ccc(-c4ncc(-c5cccn5C)c5c4[N]N(C)[N]5)n3C)c(F)c2c(OC)c2scc(SC)c12,1024,2.8616663406429046,6.57234392412505
Cc1c2sc(-c3c(F)c(F)c(-c4ncc(-c5c(F)c(F)cn5C)c5nn(C)nc45)n3C)c(F)c2c(F)c2c1c(F)cn2C,1024,2.790037757167231,9.98955439409638
COc1c2c(F)cn(C)c2c(C)c2c(F)c(-c3nccc4nn(C)nc34)n(C)c12,1024,2.726528830070696,3.2587680975876196
Cc1c2cc(-c3c(F)c(F)c(-c4ncc(-c5c(F)c(F)cn5C)c5nn(C)nc45)n3C)n(C)c2c(F)c2ccn(C)c12,1024,2.3997032597666856,10.02314675084283
Cc1c2c(F)cn(C)c2c(F)c2c(F)c(-c3c(F)c(F)c(-c4ncc(-c5c(F)c(F)cn5C)c5nn(C)nc45)n3C)n(C)c12,1024,2.7934103079441615,10.169319209654658
Cc1csc2c(C)c3c(C)c(-c4sc(-c5ncc(-c6scc(F)c6F)c6nsnc56)c(F)c4F)n(C)c3c(C)c12,1024,1.6902194155876695,6.111838369726878
Cc1c(F)c(-c2ncc(-c3c(F)c(F)cn3C)c3nn(C)nc23)n(C)c1-c1c(F)c2c(F)c3c(c(F)cn3C)c(F)c2n1C,1024,2.797079579698461,9.769859067219228
CSc1cc(-c2c3c(SC)c(-c4nccc5nonc45)n(C)c3c(-c3cc(SC)c(SC)c(SC)c3)c3c(C)cn(C)c23)cc(SC)c1SC,1024,1.8769881445894505,4.658058421184401
Cn1cc(F)c2c(F)c3c(c(F)c(-c4ccc(-c5ncc(-c6ccco6)c6c5[N]O[N]6)s4)n3C)c(F)c21,1024,2.26227555109895,3.2830871363701877
COc1cn(C)c(-c2cnc(-c3c(OC)c(OC)c(-c4cc(SC)c(-c5c(C)ccn5C)n4C)n3C)c3nn(C)nc23)c1OC,1024,3.062973474646017,7.268626351303214
Cc1csc2c(F)c3c(C)c(-c4sc(-c5ncc(-c6c(F)c(F)cn6C)c6c5[N]N(C)[N]6)c(F)c4F)sc3c(F)c12,1024,3.057279951731706,8.023914913401766
CSc1csc(-c2cnc(-c3sc(-c4cc(SC)c(-c5c(SC)ccn5C)n4C)c(F)c3SC)c3nsnc23)c1SC,1024,2.230002299598762,3.133054868301252
CSc1ccn(C)c1-c1c(SC)cc(-c2ccc(-c3ncc(-c4cccs4)c4nsnc34)n2C)n1C,1024,2.200507025063496,2.407474041194023
COc1c2cc(-c3ccc(-c4ncc(-c5ccco5)c5c4[N]O[N]5)s3)n(C)c2c(OC)c2ccn(C)c12,1024,1.9611121338237631,3.9642797222018493
COc1c2scc(F)c2c(SC)c2sc(-c3c(C)c(C)c(-c4ncc(-c5c(C)c(C)cn5C)c5nn(C)nc45)n3C)c(F)c12,1024,3.069416270204811,3.7931771624092008
COc1cn(C)c(-c2cnc(-c3c(OC)c(OC)c(-c4c(OC)c5c(SC)c6c(c(OC)cn6C)c(OC)c5n4C)n3C)c3nn(C)nc23)c1OC,1024,2.8176214467820624,5.556876229272909
CSc1cn(C)c2c(F)c3c(SC)c(-c4c(F)c(F)c(-c5ncc(-c6scc(F)c6F)c6nsnc56)n4C)n(C)c3c(F)c12,1024,1.6288067971311218,5.840044476449356
COc1cn(C)c2c(F)c3c(OC)c(-c4ccc(-c5ncc(-c6cccs6)c6nsnc56)s4)n(C)c3c([N])c12,1024,1.7516402559735043,3.666964100911482
Cc1cc(-c2c3cc(-c4nccc5nsnc45)n(C)c3c(-c3cc(C)c(C)c(C)c3)c3ccn(C)c23)cc(C)c1C,1024,2.0123808591196295,1.8476243795107752
COc1c2c(F)cn(C)c2c(SC)c2c(F)c(-c3c(F)c(F)c(-c4ncc(-c5c(F)c(F)cn5C)c5nn(C)nc45)n3C)n(C)c12,1024,2.722940957156415,9.571486897206874
